Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Carolina,22%,67%,11%
North Carolina,24%,63%,13%
Tennessee,21%,67%,12%
Indiana,24%,63%,13%
Kentucky,22%,65%,13%
Alabama,23%,65%,12%
West Virginia,24%,64%,12%
Delaware,25%,62%,13%
Utah,21%,65%,14%
Oklahoma,20%,69%,11%
Georgia,24%,62%,14%
Illinois,23%,63%,14%
Nevada,20%,65%,15%
Ohio,23%,63%,14%
Arkansas,21%,67%,12%
Arizona,20%,67%,13%
Pennsylvania,23%,62%,15%
Michigan,21%,66%,13%
New Jersey,23%,61%,16%
Idaho,20%,67%,13%
Virginia,22%,64%,14%
Rhode Island,23%,64%,13%
Kansas,19%,67%,14%
Mississippi,20%,69%,11%
Texas,20%,67%,13%
Connecticut,21%,65%,14%
Missouri,19%,67%,14%
Maryland,23%,62%,15%
Florida,22%,64%,14%
Louisiana,20%,68%,12%
California,20%,62%,18%
Wisconsin,20%,66%,14%
North Dakota,19%,69%,12%
Iowa,19%,68%,13%
New Mexico,21%,65%,14%
Oregon,18%,68%,14%
New York,21%,62%,17%
Nebraska,17%,71%,12%
Colorado,18%,68%,14%
Washington,19%,67%,14%
Minnesota,19%,67%,14%
New Hampshire,21%,65%,14%
Massachusetts,21%,62%,17%
South Dakota,14%,76%,10%
Maine,17%,70%,13%
Wyoming,16%,71%,13%
Vermont,18%,68%,14%
Hawaii,14%,73%,13%
Montana,14%,75%,11%
Alaska,15%,72%,13%
District of Columbia,17%,67%,16%
